name,code,inception,category,fee,currency,aum (NTD million),manager,risk_level,Top ten holdings,Industry allocation,Country allocation
凱基雲端趨勢基金,G006,2012/9/13,股票型,0.02,"TWD,USD",513.08,馮紹榮,RR4,"MICROSOFT 8.16%, NVIDIA Corporation 6.86%, 台積電 6.81%, BROADCOM LTD 5.50%,  Meta Platforms Inc 3.75%, ServiceNow 3.67%, Apple 4.15%, Arista Networks Inc 3.91%, Alphabet Inc 3.75%, SK Hynix 3.12%","半導體產品與設備 33.44%, 軟體與服務 29.05%, 技術硬體與設備 10.48%, 媒體及娛樂 8.94%, ETF 5.97%, 非必需消費品分配 3.01%, 消費者服務 2.17%, 資本物品 1.29%, 金融服務 1.05%, 流動資產 4.61%","美國 76.84%, 臺灣 10.83%, 韓國 3.12%, 德國 2.80%, 荷蘭 0.89%, 愛爾蘭 0.60%, 日本 0.33%"
凱基醫院及長照產業基金,G011,2017/5/2,股票型,0.02,"TWD,USD,CNY",321.44,黃廷偉,RR3,"BOSTON SCIENTIFIC 8.35%, STRYKER CORP 8.20%, ABBOTT LABORATORIES 7.70%, Welltower Inc 5.80%, Intuitive Surgical 4.82%, ELI LILLY & CO 4.60%, McKesson 4.46%, MEDTRONIC PLC 4.31%, CVS Health Corp 4.09%, Guardant Health Inc 4.19%","醫療保健設備與服務 65.15%, 製藥、生物科技及生命科學 15.03%, 權益型不動產投資信託 5.80%, 核心消費經銷及零售 2.38%, 保險 1.94%, ETF 1.92%, 流動資產 7.78%","美國 82.95%, 愛爾蘭 4.31%, 荷蘭 2.58%, 中國 2.38%"
凱基環球趨勢基金,G012,2021/5/3,股票型,0.02,"TWD,USD,CNY",602.34,黃廷偉,RR3,"NVIDIA Corporation 7.49%, MICROSOFT 7.16%, Amazon.com 5.52%, TAIWAN SEMIC-ADR 4.20%, Alphabet Inc 4.82%, Clean Harbors Inc 4.07%, BROADCOM LTD 3.26%, Mastercard Inc 3.15%, MercadoLibre Inc 3.27%","資訊技術 37.31%, 非核心消費 21.26%, 醫療保健 8.74%, 通訊服務 9.25%, 工業 7.06%, 金融 5.81%, 房地產 3.08%, ETF 2.30%, 核心消費 0.43%, 流動資產 4.76$","美國 67.63%, 中國 5.29%, 荷蘭 5.26%, 臺灣 4.2.%, 烏拉圭 3.27%, 愛爾蘭 2.80%, 韓國 2.52%, 加拿大 1.26%, 法國 1.24%, 英國 1.18%"
凱基未來移動基金,G013,2022/3/10,股票型,0.02,"TWD,USD,CNY,ZAR",493.79,馮紹榮,RR4,"台積電 7.05%, BROADCOM LTD 7.00%, NVIDIA Corporation 6.05%, Texas Instruments Inc 4.51%, TE Connectivity PLC 5.38%, MICROSOFT 4.40%,  Infineon Technologies AG 4.18%, Tesla Motors 4.35%, NXP Semiconductor NV 3.93%, ANALOG DEVICES INC 3.89%","資訊技術 56.99%, 工業 14.41%, 非核心消費 11.80%, 股票 5.38%, ETF 4.95%, 流動資產 6.48%","美國 55.06%, 臺灣 10.18%, 中國 5.74%, 日本 6.55%, 愛爾蘭 5.38%, 德國 4.18%, 荷蘭 3.93%, 義大利 2.51%"
